COUNTRY,PRODUCTION_INDEX,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Georgia,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.29296173,19.7400088,4.838739176,34.53154566,31.7646593,6.899037604,-5.479260564,-11.49087805,16.21358174,23.49164596,8.304725385,-2.028766616,5.218542777,6.750173836,0.675816418,,,,,,,,
Albania,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.19817668,5.686565454,32.66744324,17.52778607,18.5661749,11.91862362,6.046500474,13.90700959,2.860726988,4.179220646,-12.05295128,4.672408106,14.66506238,-1.448630783,-1.699408486,23.76329106,,,
New Zealand,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.627420887,-0.124541618,4.579147904,5.12718601,-0.693131695,11.51649746,0.466571835,-1.279945631,-0.993493279,-2.085446576,-0.029447646,-1.649553947,-3.414341948,3.216089306,6.283261803,5.358585043,2.153999463,2.029790268,0.426564683,-1.677041377,1.906748101,3.526531209,-0.183557485,5.707819076,3.278578836,3.56969324,0.247083477,-1.004617497,4.298770879,-1.822082553,-5.906250962,3.3004056,-2.87831291,0.629238393,0.609104163,3.233181979,1.347599588,1.991443258,0.935538387,1.719189141,1.378560301,-4.317193389,2.948395503,-3.617472185,,
Iceland,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.737172196,6.036659762,18.10251402,4.582964475,-3.256810814,9.036916418,12.40506701,16.844247,0.605501451,35.55398396,3.710140702,12.8581976,12.11336359,4.466432037,-4.021231448,1.095694025,9.425227835,-9.009092871,0.885353799,,,,,,,
"Armenia, Republic of",Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94,8.758995963,6.899612653,2.6949498,5.294806505,6.871823539,12.61072305,,,,,,,
Euro Area (EA),Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524980313,-0.365567064,0.349436534,2.150256812,1.653315153,4.082830315,3.785743053,-1.77726038,-14.76769912,7.212385279,3.398184176,-2.408429503,-0.814053128,1.062634989,2.590186357,1.608199317,2.985074627,,,,,,,
Paraguay,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.691490792,5.893682589,5.638413969,-3.340220386,12.9913312,4.287966369,-0.44341429,15.79107197,4.886790803,1.775295883,4.053722054,4.958287423,3.666766647,0.209764919,-0.29594341,4.575399986,,,
Bosnia and Herzegovina,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.324582339,10.34588307,-6.509477577,4.361586391,2.378695982,-3.906322318,5.144013101,0.20155749,3.081283716,4.408373248,3.15181378,1.573052215,-5.31095435,-6.396643261,9.788674412,0.933255562,-3.896639974,
Taiwan Province of China,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.605853909,0.508305094,3.200221086,6.407269546,-1.280126167,1.971431242,4.999958334,3.642828232,,,,,,
"Macao Special Administrative Region, People's Republic of China",Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.941897999,-0.322580645,-7.80294858,-1.599063963,24.81173207,14.48078755,7.323162275,22.84828121,-22.30170419,,,,,,
Ecuador,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.398175225,0.324929972,1.552378825,7.093368525,3.3682481,6.040135108,7.916432453,4.062852678,-11.2371736,9.398496241,4.656357388,-1.666393039,-0.500876534,1.359174427,-0.662196838,4.474627114,2.647950231,1.35975136,4.837102338,,,,,
"Egypt, Arab Republic of",Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.647990979,4.230897233,-4.293536597,2.245205071,0.048597274,-1.001311489,6.92306614,,,,,,,
Angola,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49711807,-2.528772582,-3.606191373,-3.6775,7.399621065,0.265828903,-0.28922632,6.719845299,-2.219705549,-4.81816076,,,,,,,
Bhutan,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.686565454,32.66744324,17.52778607,18.5661749,11.91862362,6.046500474,13.90700959,2.860726988,4.179220646,-12.05295128,4.672408106,14.66506238,-1.448630783,,,,,
Solomon Islands,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.35003012,5.453897752,-9.159313799,-3.320025991,-5.791002881,11.54406621,2.423799706,6.805099469,,,,,,
"Azerbaijan, Republic of",Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.01171303,6.021251476,8.574610245,2.615384615,-4.997501249,-2.314571278,1.777059774,-0.687830688,2.397442728,-0.520291363,-3.39958159,1.515971846,1.813333333,-3.981141959,4.964539007,-1.091476091,,
"Kazakhstan, Republic of",Industrial Production,Index,Annual,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.05952838,68.79120784,75.97653406,79.65210478,85.41142011,89.41862127,91.29233326,99.04143124,100,100.7059608,102.1213571,103.458325,103.6674899,101.9467193,99.47467251,107.8167876,,,,,,,
Georgia,Industrial Production,Index,Annual,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.64793885,43.23844082,51.77371285,54.27890777,73.02225359,96.21752366,102.8556068,97.2198801,86.04846224,100,123.491646,133.747288,131.0338677,137.8719261,147.1785208,148.1731774,,,,,,,,
Tunisia,Industrial Production,Index,Annual,Units,,,,,,,,,,,,,,,,,,,18.09500105,18.711739,20.47298577,20.46092244,22.13018628,23.82669252,25.61171213,26.71075313,28.90514707,29.68332711,30.41725046,33.32159538,36.92032768,41.1355095,44.10946188,45.72555926,45.22573533,49.12436199,49.27173507,49.86122742,49.95947614,50.05772487,51.87532626,52.90693786,52.71044041,56.82185477,58.98298282,59.14111414,62.04018837,63.99047466,65.72552666,68.5674979,73.32022261,77.23397282,82.08333333,85.08333333,85.41666667,83.33333333,86.58333333,86.75,89.33333333,98.33333333,99.33333333,95.83333333,100,93.83333333,96.75,97.83333333,96.775,94.41666667,93.9,92.881354,92.4,,,,,,
Trinidad and Tobago,Industrial Production,Index,Annual,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95955197,14.28714176,15.13605723,13.4487937,13.9806868,12.77600177,15.63624809,15.02333817,18.27457876,18.96850552,18.20765181,18.19356193,18.7043202,20.86359483,22.87492569,21.40957781,24.43890274,26.25016406,27.75298596,29.53143457,32.89145557,36.48116551,38.42367765,42.83370521,49.28468303,53.95064969,57.42223389,63.039769,68.76230476,75.92203701,81.30332065,91.84276152,100,101.286258,96.39716498,95.01246883,89.46712167,84.3680273,74.0320252,70.58669117,,,,,,,
"Korea, Republic of",Industrial Production,Index,Annual,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.555189794,8.513130839,8.936981738,10.34538316,11.90393803,12.43042547,15.03435252,17.92148039,20.30112759,20.95115902,22.81002081,25.00898583,26.47518616,27.6708051,30.74496626,34.40514747,37.35700545,39.17621721,36.68155839,45.66969134,53.385047,53.69185927,58.00438796,61.21158736,67.57336513,71.85071729,77.89264734,83.28184651,86.08398854,85.97615855,100,105.9585415,107.4252211,108.1586567,108.4002918,108.1002848,110.4603718,113.2530248,114.9467703,115.3248942,115.0282419,124.440602,126.2042214,,
Cameroon,Industrial Production,Index,Annual,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.96616595,92.01508629,88.2390035,91.51254481,95.7255847,97.72378517,100.168798,101.483376,104.7468031,100.9360614,100,102.2992327,104.9616368,115.4859335,123.398977,123.42711,117.3530148,118.3022151,119.9640487,118.4336647,122.4808184,125.9590793,,,
"San Marino, Republic of",Industrial Production,Index,Annual,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.22331441,74.60888827,73.6674512,79.30222899,82.55572477,86.4599197,92.71770732,95.63200886,96.87802852,92.91845494,100,101.2667867,100.1522913,101.5644469,103.5422188,105.8459826,105.3747676,108.4950855,108.5652286,112.3148113,109.7841386,123.0617472,118.2091929,107.293253,
El Salvador,Industrial Production,Index,Annual,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.29478896,51.96297608,58.93169484,63.96352858,67.09764432,69.51131263,69.608477,73.52216731,80.44832959,85.20147483,85.43082793,88.2817359,90.63288761,87.57672933,89.39686648,94.0430556,96.54748598,100.630649,101.2339719,98.04826118,100,104.6177504,106.1145384,106.2765009,109.1881858,111.4966061,111.9115212,114.0880057,116.2972466,,,,,,
"Armenia, Republic of",Industrial Production,Index,Annual,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,113.94,123.92,132.47,136.04,143.2430548,153.0864647,172.3917748,,,,,,,
Ireland,Industrial Production,Index,Annual,Units,2.184376148,2.469294776,2.800168021,2.879822691,2.806295304,3.063641161,3.146359472,3.296477889,3.232141425,3.213759578,3.262777837,3.592885172,3.873208338,4.22169752,4.461427441,4.701157362,5.080282955,5.268696887,5.522213193,6.012395779,6.693290027,7.167388496,7.469923061,7.744118945,8.077289921,8.941236729,9.080632402,8.714035195,9.485457659,10.24805788,11.05672845,11.90852742,11.60540318,12.23544679,12.14638153,13.10290228,14.40193763,14.88764398,15.2109709,16.56069613,18.32997312,20.45207453,21.45130319,22.17897991,24.20283078,25.52932479,28.59163097,34.125006,36.88411355,43.33466444,51.88486585,59.57095116,68.08325275,75.58741888,81.765091,86.38887014,87.45764531,90.92926965,93.70353713,98.61535496,96.47780461,92.17238404,100,99.56670277,98.10849096,95.92533956,115.9903341,158.8367636,166.6714048,162.5026346,154.4694805,165.2685806,189.3151061,242.9268149,288.9156296,,
