Country,Country Code,Series,1987 [1987],1988 [1988],1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023],2024 [2024]
Afghanistan,AFG,"Imports Merchandise, Customs, current US$, millions, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Imports Merchandise, Customs, current US$, millions, seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Imports Merchandise, Customs, Price, US$, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Imports Merchandise, Customs, Price, US$, seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Industrial Production, constant US$, seas. adj.,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Unemployment rate,Percent,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Total Reserves,,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Retail Sales Volume,Index,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Official exchange rate, LCU per USD, period average,,",39.28,39.28,39.28,39.28,39.28,39.28,39.28,38.81833333,36.5675,47.5,47.5,47.5,46.62166667,47.35666667,47.49666667,47.26,48.76333333,47.84583333,49.495,49.92666667,49.9625,50.24916667,50.325,46.4525,46.7475,50.92166667,55.3775,57.2475,61.14333333,67.86583333,68.02583333,72.08333333,77.73833333,76.815,77.342,..,..,..
Afghanistan,AFG,"Months Import Cover of Foreign Reserves,,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Industrial Production, constant US$,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Core CPI,not seas.adj,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.48328346,99.0117847,100.8265913,104.1015553,105.8849607,106.0853744,106.1934316,106.0253426,106.1851195,107.0569655,108.0497987,108.842218,110.3771842,112.2307806,119.5278732,125.7702538,128.8605046
Albania,ALB,"Core CPI,seas.adj,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.55989352,99.09050577,100.9076457,104.1860766,105.9662452,106.164966,106.2712585,106.1048876,106.2675614,107.1447057,108.1383097,108.93042,110.4638051,112.316992,119.6179015,125.8651287,128.9596273
Albania,ALB,"CPI Price, % y-o-y, median weighted, seas. adj.,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"CPI Price, % y-o-y, not seas. adj.,,",..,..,..,..,..,226.6263322,84.51636999,22.50561406,7.739896978,12.89646844,33.11504038,20.56083962,0.403982698,0.060963219,3.084213377,5.172187344,2.380238773,2.873801566,2.321610662,2.406832298,2.904733346,3.364855949,2.242553191,3.62300745,3.425042675,2.033960835,1.929664307,1.616817893,1.895164254,1.275705695,1.989602436,2.024107743,1.409896653,1.613855706,2.045679084,6.730777054,4.758891955,2.220783095
Albania,ALB,"CPI Price, seas. adj.,,,",..,..,..,..,5.167586144,16.87869709,31.14395917,38.37266169,41.34266618,46.67441007,62.13065982,74.90524514,75.20784937,75.2536985,77.57468313,81.58699107,83.52895627,85.92941272,87.92435913,90.040551,92.65598891,95.77372947,97.9215063,101.4692098,104.9445735,107.079105,109.1453723,110.9100542,113.0119819,114.4536822,116.7308554,119.0936137,120.7727106,122.7218079,125.2323022,133.6614093,140.0222114,143.131801
Albania,ALB,"CPI Price,not seas.adj,,,",..,..,..,..,5.15158752,16.79284164,31.07359036,38.08627737,41.05054429,46.31135931,61.63854154,74.37376067,74.68738618,74.72785399,77.02339039,81.01452794,82.9407956,85.33851321,87.3214358,89.41564485,92.00254947,95.0922666,97.21480312,100.7375258,104.1924649,106.3089312,108.3697544,110.1321274,112.221278,113.6508033,115.9099187,118.2600866,119.9293837,121.8728501,124.3616203,132.7242928,139.0413176,142.1219295
Albania,ALB,"Exchange rate, new LCU per USD extended backward, period average,,",..,..,..,..,..,84.90540003,115.561618,104.3121596,101.8890188,101.8028343,148.6727157,152.499582,137.4676672,143.8515383,143.6284596,140.212796,121.2605531,102.6974142,99.84388124,98.1019386,90.35013869,83.9087622,94.94451899,104.0333031,100.9197273,108.1573658,105.6868952,105.5437531,125.8851922,124.1758597,119.0651546,108.0102906,109.8662762,108.6349611,103.5013809,113.0462103,100.6088666,93.11326044
Albania,ALB,"Exchange rate, old LCU per USD extended forward, period average,,",..,..,..,..,..,84.90540003,115.561618,104.3121596,101.8890188,101.8028343,148.6727157,152.499582,137.4676672,143.8515383,143.6284596,140.212796,121.2605531,102.6974142,99.84388124,98.1019386,90.35013869,83.9087622,94.94451899,104.0333031,100.9197273,108.1573658,105.6868952,105.5437531,125.8851922,124.1758597,119.0651546,108.0102906,109.8662762,108.6349611,103.5013809,113.0462103,100.6088666,93.11326044
Albania,ALB,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Exports Merchandise, Customs, constant US$, millions, seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Exports Merchandise, Customs, current US$, millions, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,264.0326409,258.2952275,304.6707489,339.3648226,450.1691008,605.9107932,658.8878483,790.4360556,1078.504793,1354.734475,1104.031215,1548.613336,1950.635343,1968.556268,2331.297709,2429.225063,1930.597922,1961.398277,2302.050054,2875.214479,2719.013116,2515.089876,3560.087366,4309.315117,4374.947875,4000.216985
Albania,ALB,"Exports Merchandise, Customs, current US$, millions, seas. adj.",..,..,..,..,..,..,..,120.749243,187.5351271,243.3936316,138.5835837,225.4329019,262.5938741,258.9664456,303.6099685,341.3951738,448.4853784,605.6947489,656.9988361,790.0334875,1078.540549,1346.337669,1104.749372,1541.653475,1954.992046,1967.987814,2331.30492,2429.959571,1931.733792,1963.423631,2302.407215,2873.852142,2718.841367,2536.298975,3556.752151,4323.998434,4389.426776,3996.121632
Albania,ALB,"Exports Merchandise, Customs, Price, US$, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
